nim;job_text_raw;label
E31201932;freelance kerja lepas;Wirausaha Informatika
E31200837;founder;Wirausaha Informatika
E31191434;staff;Programmer
E31201537;freelance kerja lepas;Wirausaha Informatika
E31191441;freelance kerja lepas;Wirausaha Informatika
E31181049;freelance kerja lepas;Programmer
E31200822;staff;Wirausaha Informatika
E31201020;staff;Non-IT
E31200238;staff kontrak;Non-IT
E31171935;machine operator;Non-IT
E31192166;founder;Wirausaha Informatika
E31200102;freelance kerja lepas;Wirausaha Informatika
E31160306;admin stnk bpkb;Non-IT
E31180276;staff;Wirausaha Informatika
E31192214;staff;Programmer
E31180303;staff;Non-IT
E31181474;founder;Wirausaha Informatika
E31171470;staf;Non-IT
E31202314;staf pelaksana;Non-IT
E31170372;administrative assistant pdpt upt tik;Non-IT
E31201773;freelance kerja lepas;Programmer
E31190320;staff;Wirausaha Informatika
E31201845;founder;Wirausaha Informatika
E31201634;staff;Non-IT
E31191982;staff;Non-IT
E31180295;freelance kerja lepas;Wirausaha Informatika
E31180678;freelance kerja lepas;Wirausaha Informatika
E31190237;staff;Non-IT
E31190731;founder;Programmer
E31192403;freelance kerja lepas;Wirausaha Informatika
E31180306;staff;Data Analyst
E31171868;information technology staff;Non-IT
E31191621;staff;Non-IT
E31170734;administrative assistant;Non-IT
E31160690;graphic designer;Non-IT
E31201372;founder;Wirausaha Informatika
E31180370;freelance kerja lepas;Wirausaha Informatika
E31180575;staff;Programmer
E31181553;staff admin;Non-IT
E31201950;marketing officer;Non-IT
E31170389;field coll;Non-IT
E31200061;marketing officer;Non-IT
E31192060;freelance kerja lepas;Wirausaha Informatika
E31192472;freelance kerja lepas;Non-IT
E31200973;programmer;Programmer
E31201794;founder;Wirausaha Informatika
E31200700;staff;Wirausaha Informatika
E31200888;freelance kerja lepas;Wirausaha Informatika
E31182101;founder;Wirausaha Informatika
E31192293;freelance kerja lepas;Wirausaha Informatika
E31180509;freelance kerja lepas;Wirausaha Informatika
E31202562;staff;Non-IT
E31201690;staff;Non-IT
E31201146;freelance kerja lepas;Wirausaha Informatika
E31171618;customer service staff;Non-IT
E31181097;call center officer;Non-IT
E31170384;customer service;Non-IT
E31192281;mitra rider operational;Non-IT
E31171333;it staff teknisi;Programmer
E31201939;freelance kerja lepas;Programmer
E31190933;staff;Non-IT
E31171296;cutting machine operator;Non-IT
E31190993;staff;Non-IT
E31202394;staff;Non-IT
E31180825;staff;Non-IT
E31200864;freelance kerja lepas;Wirausaha Informatika
E31180513;it staff teknisi;Programmer
E31201887;freelance kerja lepas;Programmer
E31180691;founder;Wirausaha Informatika
E31192024;teknisi laboratorium;Programmer
E31191848;fullstack developer;Programmer
E31190800;staff;Non-IT
E31201177;freelance kerja lepas;Wirausaha Informatika
E31171427;pranata komputer;Non-IT
E31191460;freelance kerja lepas;Wirausaha Informatika
E31201422;freelance kerja lepas;Non-IT
E31160524;kepala urusan perencanaan;Non-IT
E31190397;freelance kerja lepas;Wirausaha Informatika
E31201431;freelance kerja lepas;Data Analyst
E31171367;office administrator;Non-IT
E31202319;freelance kerja lepas;Wirausaha Informatika
E31160548;senior backend engineer;Programmer
E31200456;data analyst;Data Analyst
E31171103;it staff teknisi;Programmer
E31192347;freelance kerja lepas;Wirausaha Informatika
E31192213;freelance kerja lepas;Programmer
E31190341;staff;Programmer
E31202523;freelance kerja lepas;Wirausaha Informatika
E31171350;programmer developer;Programmer
E31180207;founder;Wirausaha Informatika
E31201459;freelance kerja lepas;Wirausaha Informatika
E31190987;staff administrasi;Non-IT
E31160910;founder;Wirausaha Informatika
E31160241;web developer;Programmer
E31191234;staff;Non-IT
E31191551;freelance kerja lepas;Wirausaha Informatika
E31200649;human resource;Non-IT
E31171243;it staff teknisi;Programmer
E31181955;freelance kerja lepas;Programmer
E31181158;freelance kerja lepas;Programmer
E31190527;founder;Wirausaha Informatika
E31170445;it staff teknisi;Programmer
E31171061;back end developer;Programmer
E31180456;it staff teknisi;Programmer
E31191660;founder;Wirausaha Informatika
E31180297;founder;Wirausaha Informatika
E31172262;it staff teknisi;Programmer
E31182299;staff noc;Programmer
E31200912;staff;Non-IT
E31201246;digital marketing;Non-IT
E31191879;founder;Wirausaha Informatika
E31190134;freelance kerja lepas;Wirausaha Informatika
